Quick Lookup,Delivery Provider Lookup,Fulfillment Center Id,Window Id,Zone Id,Name,Market Code,Delivery Provider,Window Id,Fulfillment Center Id,Start Day,Start Time,End Day,End Time,Dispatch Day,Dispatch Time,Customization Start Day,Customization Start Time,Customization End Day,Customization End Time,Delivery Price,Order By,Is Visible,Message To User,DBP Route Id,DBP Window Id,Created,Archived,Archived Date,Sms Notifications,Updated,Pack Date Offset,Subtotal Min,Delivery Provider,Carrier Days in Transit,Zone Id,Fulfillment Center Id,Name,Expected Service Time In Minutes,Archived,Zone Pickup Address Id,Timezone,Created,Updated,Is Line Haul,Pickup Time,Transit Time,Market Code,To Be Archived
SEA|2,SEA|2|Bringg,62759d07-dda5-4e5e-a0b9-fce960493522,38ffc46a-021b-4969-9219-a36c5fb0fbf0,2f3aaf90-12ae-48c3-899d-2fec9a6d9761,SEA: TUESDAY PM,SEA,Bringg,38ffc46a-021b-4969-9219-a36c5fb0fbf0,62759d07-dda5-4e5e-a0b9-fce960493522,2,5:00:00,2,21:00:00,0,18:00:00,4,15:00:00,0,12:00:00,5.99,0,TRUE,Hooray! We deliver to your neighborhood on Tuesday afternoon/evening.,137,26,2018-07-12 14:35:09.960 -0500,FALSE,,TRUE,2022-11-04 11:45:22.811 -0500,1,,Bringg,,2f3aaf90-12ae-48c3-899d-2fec9a6d9761,62759d07-dda5-4e5e-a0b9-fce960493522,SEA: TUESDAY PM,5,FALSE,cf71601e-2162-11e8-b467-0ed5f89f718b,America/Los_Angeles,2018-08-07 14:17:21.817 -0500,2021-08-02 16:17:48.164 -0500,TRUE,7:00:00,3:30:00,SEA,FALSE
LAX|3,LAX|3|Bringg,9da947fe-5a46-424f-b328-e9414c197a32,aa0a5fb1-c0dc-4c41-be2d-0d5db6e0a7a8,d68c3d03-d489-4fa4-8bf3-b1f16ef3be46,LAX: WEDNESDAY PM,LAX,Bringg,aa0a5fb1-c0dc-4c41-be2d-0d5db6e0a7a8,9da947fe-5a46-424f-b328-e9414c197a32,3,5:00:00,3,21:00:00,1,15:00:00,5,15:00:00,1,12:00:00,5.99,0,TRUE,Hooray! We deliver to your neighborhood on Wednesday afternoon/evening.,179,134,2018-07-12 14:35:11.097 -0500,FALSE,,TRUE,2022-11-04 11:45:22.869 -0500,1,,Bringg,,d68c3d03-d489-4fa4-8bf3-b1f16ef3be46,9da947fe-5a46-424f-b328-e9414c197a32,LAX: WEDNESDAY PM,5,FALSE,cf715ba0-2162-11e8-b467-0ed5f89f718b,America/Los_Angeles,2018-08-07 14:17:21.817 -0500,2021-08-02 11:25:03.929 -0500,FALSE,6:30:00,0:00:00,LAX,FALSE
LAX|2,LAX|2|Bringg,9da947fe-5a46-424f-b328-e9414c197a32,50167f8d-7217-4618-b9c8-2ad1d01bd116,9268a6e2-5096-488f-bf0f-743ec70e93ec,LAX: TUESDAY PM,LAX,Bringg,50167f8d-7217-4618-b9c8-2ad1d01bd116,9da947fe-5a46-424f-b328-e9414c197a32,2,5:00:00,2,21:00:00,0,15:00:00,4,15:00:00,0,12:00:00,5.99,0,TRUE,Hooray! We deliver to your neighborhood on Tuesday afternoon/evening.,178,129,2018-07-12 14:35:17.650 -0500,FALSE,,TRUE,2022-11-04 11:45:22.811 -0500,1,,Bringg,,9268a6e2-5096-488f-bf0f-743ec70e93ec,9da947fe-5a46-424f-b328-e9414c197a32,LAX: TUESDAY PM,5,FALSE,cf715ba0-2162-11e8-b467-0ed5f89f718b,America/Los_Angeles,2018-08-07 14:17:21.817 -0500,2021-08-02 11:25:04.043 -0500,FALSE,6:30:00,0:00:00,LAX,FALSE
PickUp,LAX|5|PickUp,9da947fe-5a46-424f-b328-e9414c197a32,0a01df79-858e-47d8-94b2-aa94a9410be4,11c31e1d-9d8e-411d-a10b-cbd51bc941ec,LAX: Employee Warehouse Pick Up,LAX,PickUp,0a01df79-858e-47d8-94b2-aa94a9410be4,9da947fe-5a46-424f-b328-e9414c197a32,5,5:00:00,5,21:00:00,3,15:00:00,6,15:00:00,3,12:00:00,0,0,TRUE,Hooray! We deliver to your neighborhood on Friday afternoon/evening.,170,113,2018-07-16 16:07:49.011 -0500,FALSE,,TRUE,2022-11-04 11:45:22.810 -0500,1,,PickUp,,11c31e1d-9d8e-411d-a10b-cbd51bc941ec,9da947fe-5a46-424f-b328-e9414c197a32,LAX: Employee Warehouse Pick Up,5,FALSE,cf715ba0-2162-11e8-b467-0ed5f89f718b,America/Los_Angeles,2018-08-07 14:17:21.817 -0500,2021-08-02 11:25:04.150 -0500,FALSE,6:30:00,0:00:00,LAX,FALSE
LAX|5,LAX|5|Bringg,9da947fe-5a46-424f-b328-e9414c197a32,dd94daa5-e37a-40ac-92bf-87b1b277d5f9,b682c9c4-9d1c-4257-8271-1dc8b3d1d5ef,LAX: FRIDAY PM,LAX,Bringg,dd94daa5-e37a-40ac-92bf-87b1b277d5f9,9da947fe-5a46-424f-b328-e9414c197a32,5,5:00:00,5,21:00:00,3,15:00:00,6,15:00:00,3,12:00:00,5.99,0,TRUE,Hooray! We deliver to your neighborhood on Friday afternoon/evening.,181,141,2018-07-16 16:07:49.142 -0500,FALSE,,TRUE,2022-11-04 11:45:22.899 -0500,1,,Bringg,,b682c9c4-9d1c-4257-8271-1dc8b3d1d5ef,9da947fe-5a46-424f-b328-e9414c197a32,LAX: FRIDAY PM,5,FALSE,cf715ba0-2162-11e8-b467-0ed5f89f718b,America/Los_Angeles,2018-08-07 14:17:21.817 -0500,2021-08-02 11:25:03.891 -0500,FALSE,6:30:00,0:00:00,LAX,FALSE
LAX|4,LAX|4|Bringg,9da947fe-5a46-424f-b328-e9414c197a32,da7e2ec3-0fa1-4ce9-a404-d77ba870bb11,be433287-38e0-4506-a03c-733b661b0ed4,LAX: THURSDAY PM,LAX,Bringg,da7e2ec3-0fa1-4ce9-a404-d77ba870bb11,9da947fe-5a46-424f-b328-e9414c197a32,4,5:00:00,4,21:00:00,2,15:00:00,5,15:00:00,2,12:00:00,5.99,0,TRUE,Hooray! We deliver to your neighborhood on Thursday afternoon/evening.,180,135,2018-07-16 16:07:52.158 -0500,FALSE,,TRUE,2022-11-04 11:45:22.811 -0500,1,,Bringg,,be433287-38e0-4506-a03c-733b661b0ed4,9da947fe-5a46-424f-b328-e9414c197a32,LAX: THURSDAY PM,5,FALSE,cf715ba0-2162-11e8-b467-0ed5f89f718b,America/Los_Angeles,2018-08-07 14:17:21.817 -0500,2021-08-02 11:25:04.148 -0500,FALSE,6:30:00,0:00:00,LAX,FALSE
CHI|3,CHI|3|Bringg,c059b389-ff65-4283-8edb-06ffc96193af,f919802a-dd07-4793-a93a-34ef459f3228,b5f0d71a-d2df-4eca-822e-36bb6c068781,CHI: WEDNESDAY PM,CHI,Bringg,f919802a-dd07-4793-a93a-34ef459f3228,c059b389-ff65-4283-8edb-06ffc96193af,3,5:00:00,3,21:00:00,1,18:00:00,5,15:00:00,1,12:00:00,5.99,0,TRUE,Hooray! We deliver to your neighborhood on Wednesday afternoon/evening.,157,73,2018-07-18 13:42:00.387 -0500,FALSE,,TRUE,2022-11-04 11:45:22.805 -0500,1,,Bringg,,b5f0d71a-d2df-4eca-822e-36bb6c068781,c059b389-ff65-4283-8edb-06ffc96193af,CHI: WEDNESDAY PM,5,FALSE,cf716172-2162-11e8-b467-0ed5f89f718b,America/Chicago,2018-08-07 14:17:21.817 -0500,2021-08-02 11:25:04.148 -0500,FALSE,8:30:00,0:00:00,CHI,FALSE
MKE|3,MKE|3|Bringg,c059b389-ff65-4283-8edb-06ffc96193af,9a348ab1-8d21-4ce7-83ac-7558adbd8329,8e9384e0-6134-4f48-a5b2-0b5c946c0dbe,MKE: WEDNESDAY PM,MKE,Bringg,9a348ab1-8d21-4ce7-83ac-7558adbd8329,c059b389-ff65-4283-8edb-06ffc96193af,3,5:00:00,3,21:00:00,1,18:00:00,5,15:00:00,1,12:00:00,5.99,0,TRUE,Hooray!  We deliver to your neighborhood on Wednesday afternoon/evening.,192,173,2018-07-18 13:42:02.863 -0500,FALSE,,TRUE,2022-11-04 11:45:22.810 -0500,1,,Bringg,,8e9384e0-6134-4f48-a5b2-0b5c946c0dbe,c059b389-ff65-4283-8edb-06ffc96193af,MKE: WEDNESDAY PM,5,FALSE,7855847f-9a44-4e81-8a06-d1f673f6dac5,America/Chicago,2018-08-07 14:17:21.817 -0500,2021-08-02 16:17:48.167 -0500,TRUE,10:00:00,1:30:00,MKE,FALSE
MKE|4,MKE|4|Bringg,c059b389-ff65-4283-8edb-06ffc96193af,89dcbf4e-db78-4013-bc29-2770bd33a1ec,ad503420-eeaa-4ff6-a8c1-42ecf9705e80,MKE: THURSDAY PM,MKE,Bringg,89dcbf4e-db78-4013-bc29-2770bd33a1ec,c059b389-ff65-4283-8edb-06ffc96193af,4,5:00:00,4,21:00:00,2,21:00:00,1,13:00:00,2,15:00:00,5.99,0,TRUE,Hooray!  We deliver to your neighborhood on Thursday afternoon/evening.,193,167,2018-07-20 15:39:06.152 -0500,FALSE,,TRUE,2022-11-04 11:45:22.812 -0500,1,,Bringg,,ad503420-eeaa-4ff6-a8c1-42ecf9705e80,c059b389-ff65-4283-8edb-06ffc96193af,MKE: THURSDAY PM,5,FALSE,7855847f-9a44-4e81-8a06-d1f673f6dac5,America/Chicago,2018-08-07 14:17:21.817 -0500,2021-08-02 16:17:48.168 -0500,TRUE,10:00:00,1:30:00,MKE,FALSE
MKE|2,MKE|2|Bringg,c059b389-ff65-4283-8edb-06ffc96193af,001dc390-909e-49b2-a12c-87850d476daa,88431f27-bb91-4188-b82e-f2a8fe224502,MKE: TUESDAY PM,MKE,Bringg,001dc390-909e-49b2-a12c-87850d476daa,c059b389-ff65-4283-8edb-06ffc96193af,2,5:00:00,2,21:00:00,0,18:00:00,4,15:00:00,0,12:00:00,5.99,0,TRUE,Hooray!  We deliver to your neighborhood on Tuesday afternoon/evening.,191,170,2018-07-20 15:39:07.284 -0500,FALSE,,TRUE,2022-11-04 11:45:22.879 -0500,1,,Bringg,,88431f27-bb91-4188-b82e-f2a8fe224502,c059b389-ff65-4283-8edb-06ffc96193af,MKE: TUESDAY PM,5,FALSE,7855847f-9a44-4e81-8a06-d1f673f6dac5,America/Chicago,2018-08-07 14:17:21.817 -0500,2021-08-02 16:17:48.162 -0500,TRUE,10:00:00,1:30:00,MKE,FALSE
