windowId,zoneId,customizationStartDay,customizationStartTime,customizationEndDay,customizationEndTime,dispatchDay,dispatchTime,startDay,startTime,endDay,endTime,fulfillmentCenterId,deliveryPrice,subtotalMin,deliveryProvider,orderBy,isVisible,smsNotifications,packDateOffset,carrierDaysInTransit,messageToUser
4ff5f76e-8a60-49b4-84d4-97fc9a095b36,b371e3ec-533f-4931-ae5c-ddb9e29ff53d,5,15:00:00,1,12:00:00,1,18:00:00,4,05:00:00,4,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
985f5293-f196-46e4-9da1-f3a1023d47ba,46782f0f-ba55-4089-9d08-3a2dedc73dc6,5,15:00:00,1,12:00:00,1,18:00:00,4,05:00:00,4,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
c2640362-319e-465d-8df5-d183ffa47445,84e03d9b-7b67-4a8b-910d-72c7e1da6097,5,15:00:00,1,12:00:00,1,18:00:00,4,05:00:00,4,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
f914059d-742e-4b52-a54f-25ac5fbe3cea,d1173b22-06ae-49ab-b45c-1bfed0332a3f,5,15:00:00,1,12:00:00,1,18:00:00,4,05:00:00,4,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
b71b127c-e4cb-45f9-b182-f0dac3a1233f,a7021277-2170-479d-8bce-4732d95b0baa,5,15:00:00,1,12:00:00,1,18:00:00,4,05:00:00,4,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
8d009b02-853e-4406-a961-0c480ab38445,6a30695d-c456-4dd0-995a-510eb97239c0,1,13:00:00,2,15:00:00,2,21:00:00,5,05:00:00,5,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
21a05fcc-e680-4759-bdbb-3376c2fb2032,6045937b-2b87-4d21-9711-374a8b599736,1,13:00:00,2,15:00:00,2,21:00:00,5,05:00:00,5,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
42bc4f92-7026-4f43-9372-0792af48a14b,c6036be2-2011-470b-b709-0ad609afc2b3,5,14:00:00,1,11:00:00,1,17:00:00,5,05:00:00,5,20:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,2,,christmas-window-exceptions-2022
0949fceb-a3f6-49e6-b6b5-7ea84e9afe45,420076fe-2e4a-4837-a15c-d016dea89247,1,13:00:00,2,15:00:00,2,21:00:00,5,05:00:00,5,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
72857215-ac8d-418e-9065-a38ea54f1064,8b9ac3b7-b798-4117-b5d0-470b5c3640b1,1,13:00:00,2,15:00:00,2,21:00:00,5,05:00:00,5,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
8b66c60b-4dab-4a73-923d-262e2ac8b75a,0b58b1f2-b858-4607-bcad-83d7cf13fd91,1,13:00:00,2,15:00:00,2,21:00:00,5,05:00:00,5,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
033a30bd-8ab4-40d0-bef3-28d41e662b3c,b013d3d2-16ff-450f-bd7d-cae53fe77f79,1,13:00:00,2,15:00:00,2,21:00:00,5,05:00:00,5,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
