windowExceptionId,originalWindowId,originalDeliveryDay,replacementDeliveryDay,originalDeliveryDate,replacementWindowId,replacementDeliveryDate,Christmas or New Years,reason,canDonate,donationPartnerIds
0a5f2ca1-ce6b-4a92-8b5f-e02d35989f63,ca4ad9a2-7364-4c95-9aa7-441e050d4f3d,1,2,12/26/2022,c299f309-bde6-4fdc-a9ff-d9e9c195865e,12/27/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Tuesday, 1/3 instead of Monday, 1/2",FALSE,[]
deb80556-5d02-4d51-b04f-8b5ff074533a,dbe934c6-5b94-4a60-8f05-9859f98fabf3,1,2,12/26/2022,e9bfc443-52ac-4e9b-830d-483a753922a4,12/27/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Tuesday, 1/3 instead of Monday, 1/2",FALSE,[]
d0e3023c-284c-4688-9f7c-0c2e69bb1151,b25d9d60-8f8a-4f11-bc6d-42ed8a3899d7,1,2,12/26/2022,8f79e8fd-5312-4b76-a64f-ab7b2dcaef7c,12/27/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Tuesday, 1/3 instead of Monday, 1/2",FALSE,[]
78afafdd-0d11-4f9c-b56e-9c6d96c850e4,bd14eafa-0486-4a0c-aeac-2b4021c72c9d,2,3,12/27/2022,9cb31241-e87c-43f6-a0f5-2107131761fe,12/28/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Wednesday, 1/4 instead of Tuesday, 1/3",FALSE,[]
8046e535-5b27-4498-be89-b11ad128938a,f4a60b0d-24bc-4e6a-931c-eb78f14e9941,2,3,12/27/2022,153750c5-e046-4373-ba9a-c39f5c5d3489,12/28/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Wednesday, 1/4 instead of Tuesday, 1/3",FALSE,[]
afa2f540-c295-4ed5-b688-8caa6ddd1ab8,b60137aa-c315-449b-9ab6-9b88233debcf,2,3,12/27/2022,78a2a782-69d1-4230-ac51-591286ce145d,12/28/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Wednesday, 1/4 instead of Tuesday, 1/3",FALSE,[]
89001532-d744-40ba-b679-f6faf72c1b69,46e04224-a568-4c91-be74-83fccc75e80c,2,3,12/27/2022,754e914b-98c8-400f-993a-9c462534e858,12/28/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Wednesday, 1/4 instead of Tuesday, 1/3",FALSE,[]
f6dcfc55-3269-4006-8987-bf0ef7b6cc5c,001dc390-909e-49b2-a12c-87850d476daa,2,3,12/27/2022,d301df10-b9ee-4ef5-8775-aa7ab133f40b,12/28/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Wednesday, 1/4 instead of Tuesday, 1/3",FALSE,[]
fcfd9fa8-d974-4a54-8af2-1d4b308f9eba,0975482e-d7be-45a6-a35b-3df27ab57493,2,3,12/27/2022,d70772b6-374d-4d55-870a-88e065f83521,12/28/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Wednesday, 1/4 instead of Tuesday, 1/3",FALSE,[]
7f1b90ff-277c-4cd2-844d-5f7ad3a054aa,075d9f7c-4483-40fd-9877-ec02152d5742,2,3,12/27/2022,79ed7474-322a-44bb-bbec-e115bea31a71,12/28/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Wednesday, 1/4 instead of Tuesday, 1/3",FALSE,[]
8ef766ef-9883-4f03-9792-f70bc05addae,7a7e2a86-dc91-44b4-8d68-ada60f0f20f6,3,4,12/28/2022,4c1e38ec-163a-4418-9042-ab3f63e3d68d,12/29/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Thursday, 1/5 instead of Wednesday, 1/4",FALSE,[]
22f10977-cd18-4846-8348-4fd0283db5e1,0175cdaf-e972-44b6-ace8-cb591a2cdef8,3,4,12/28/2022,d55c8be5-cea1-45e0-b5ed-e39a1684f002,12/29/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Thursday, 1/5 instead of Wednesday, 1/4",FALSE,[]
41c156d6-4424-443d-9821-e8e2bdac9e1a,fb76ba2c-bc7d-4e2d-a150-a28b036ef400,3,4,12/28/2022,7953309a-1713-4690-9a8d-eab7048f5f4a,12/29/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Thursday, 1/5 instead of Wednesday, 1/4",FALSE,[]
4c4056c7-c5a8-4845-b9d4-01f83d50a952,9d9023bf-90f7-4435-a6af-79764cafad53,3,4,12/28/2022,e7df2aeb-15f1-4c6f-acdb-72969ecff67f,12/29/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Thursday, 1/5 instead of Wednesday, 1/4",FALSE,[]
f02c6339-06b4-4494-a814-5e9fd6673bac,9a348ab1-8d21-4ce7-83ac-7558adbd8329,3,4,12/28/2022,7b0c5994-228b-4755-990d-b756fd43efab,12/29/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Thursday, 1/5 instead of Wednesday, 1/4",FALSE,[]
72374115-7dad-40e2-9ce2-13413aab42e2,37e0afb9-bae8-4e80-95ef-0ba1c2cd9bce,3,4,12/28/2022,113d1dac-be9e-46f0-8847-c73b24865bac,12/29/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Thursday, 1/5 instead of Wednesday, 1/4",FALSE,[]
1c620cd4-19d6-4af5-8b12-78d659894453,b4bfb6ac-2215-45c9-9556-8c9d04a11351,3,4,12/28/2022,787eedea-5b5b-4bac-9482-e7f96bac90d2,12/29/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Thursday, 1/5 instead of Wednesday, 1/4",FALSE,[]
9f3bdfd6-e627-43e5-b064-eeb92f61101a,0a9067fe-e243-4c35-8f97-a213f26eb41e,4,5,12/29/2022,f56032dd-8b90-4ac6-8d95-37d16937dd3e,12/30/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Friday, 1/6 instead of Thursday, 1/5",FALSE,[]
264d289e-3ab2-4cc1-ac33-ca6cc6b51070,89dcbf4e-db78-4013-bc29-2770bd33a1ec,4,5,12/29/2022,358a702b-d1d3-49fc-9ea9-55b4876b51ed,12/30/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Friday, 1/6 instead of Thursday, 1/5",FALSE,[]
b2ef354a-ef06-480b-a48f-4fb3e27f23f8,786f9695-d721-4332-8e95-b5bf7ee1e398,4,5,12/29/2022,05f830fe-7721-4123-94a1-bed8a9b93032,12/30/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Friday, 1/6 instead of Thursday, 1/5",FALSE,[]
12e2eabb-6bb6-4f26-95a7-a337e2b982a8,e5dbebd6-16bd-4239-aa66-2e1aa42c3c2c,4,5,12/29/2022,d78e39bc-8044-446c-94ac-b92c493dd5d8,12/30/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Friday, 1/6 instead of Thursday, 1/5",FALSE,[]
401f0153-2748-4603-ab0e-b7bd18f0a116,60b68572-38de-41c5-a711-18cea725e83b,4,5,12/29/2022,17ce0134-d77d-41c7-9772-d437689e7ba8,12/30/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Friday, 1/6 instead of Thursday, 1/5",FALSE,[]
271ea5ca-dd97-455f-bb7b-15e116b66898,b0e6bf59-5ef9-43bb-897a-4d08f2144862,4,5,12/29/2022,44271826-b29f-42f8-83f0-855d48e9d809,12/30/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Friday, 1/6 instead of Thursday, 1/5",FALSE,[]
d60b0d34-0bdf-4ac3-93b9-8f32967a94c7,0540cb6f-b7a4-435a-8385-94e79fa11a1d,4,5,12/29/2022,b0568ef3-c0e0-4fb9-bf55-f8c9acab10e1,12/30/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Friday, 1/6 instead of Thursday, 1/5",FALSE,[]
d4fc9cc7-e62f-4044-a944-285ce104bb9e,c9449c3d-f12f-472e-95bf-4efaead39a0e,1,2,12/26/2022,b01762a5-0c2e-49b5-bd3b-35ffc3a7b23c,12/27/2022,New Years,"Special holiday schedule: Due to New Years, your order will be delivered on Tuesday, 1/3 instead of Monday, 1/2",FALSE,[]
