,0,1,2,3,4,5,,
,,,Santa Rosa - Tuesday,San Jose - Tuesday,Pittsburg CA - Wednesday,Sacramento - Friday,,
,,,Merced - Tuesday,,,Sacramento - EMP,,
,,,Reno - Tuesday,,,,,
,,,Sacramento - Tuesday,,,,,
,,,Austin - EMP,Austin - Wednesday,Austin - Thursday,Austin - Friday,,SAT
,,,Austin - Tuesday,Baton Rouge - Wednesday,Baton Rouge - Thursday,Baton Rouge - Friday,,
,,,Austin - EMP,Dallas-Fort Worth - Wednesday,Corpus Christi - Thursday,College Station - Friday,,
,,,Austin - EMP,Houston - Wednesday,Dallas-Fort Worth - Thursday,Dallas-Fort Worth - Friday,,
,,,Austin - EMP,Oklahoma City - Wednesday,Houston - Thursday,Houston - Friday,,
,,,Baton Rouge - EMP,San Antonio - Wednesday,Oklahoma City - Thursday,Oklahoma City - Friday,,
,,,Baton Rouge - Tuesday,,San Antonio - Thursday,San Antonio - Friday,,
,,,Dallas-Fort Worth - Tuesday,,Temple/Waco - Thursday,,,
,,,Houston - Tuesday,,,,,
,,,Oklahoma City - Tuesday,,,,,
,,,Oklahoma City - EMP,,,,,
,,,San Antonio - Tuesday,,,,,
,,,San Antonio - Monday,,,,,
