old_window_id,FC Name,Zone Code,City Name,Original Delivery Day,Exception Delivery Day,Original Delivery Date,Exception Delivery Date,Is Employee Zone
b60137aa-c315-449b-9ab6-9b88233debcf,CHI,LOU,Louisville,Tuesday,Wednesday,2,3,FALSE
46e04224-a568-4c91-be74-83fccc75e80c,CHI,MSN,Madison WI,Tuesday,Wednesday,2,3,FALSE
001dc390-909e-49b2-a12c-87850d476daa,CHI,MKE,Milwaukee,Tuesday,Wednesday,2,3,FALSE
0975482e-d7be-45a6-a35b-3df27ab57493,CHI,MSP,Minneapolis-Saint Paul,Tuesday,Wednesday,2,3,FALSE
075d9f7c-4483-40fd-9877-ec02152d5742,CHI,BNA,Nashville,Tuesday,Wednesday,2,3,FALSE
9a32d9ce-44a7-454d-96aa-1da6897adfcf,LA,DEN,Denver,Tuesday,Wednesday,2,3,FALSE
de6cd28d-3674-4947-bd2c-ad553da80ff4,LA,LAS,Las Vegas,Tuesday,Wednesday,2,3,FALSE
82e37986-8179-4879-b3f6-db198594c0ed,LA,SLC,Salt Lake City,Tuesday,Wednesday,2,3,FALSE
98e1a72e-99c3-4f8c-a549-76d1fddd1622,LA,PHX,Phoenix,Tuesday,Wednesday,2,3,FALSE
5a820b7a-b29f-40de-9964-64e833f5ec1f,LA,TUS,Tucson,Tuesday,Wednesday,2,3,FALSE
e412a14a-ddc3-4f6f-bd5a-e8c1f79fed93,LA,SBA,Santa Barbara,Tuesday,Wednesday,2,3,FALSE
50167f8d-7217-4618-b9c8-2ad1d01bd116,LA,LAX,Los Angeles,Tuesday,Wednesday,2,3,FALSE
482c9536-c151-4864-9c91-4a89453f1de5,LA,EBY,Pittsburg CA,Tuesday,Wednesday,2,3,FALSE
901b764f-f1e8-457a-a156-72dc09c0ffb5,LA,SBY,San Jose,Tuesday,Wednesday,2,3,FALSE
932b79f8-40e1-4523-8065-c22e0c5623fb,PNW,BLI,Bellingham,Wednesday,Thursday,3,4,FALSE
0d5296b2-2b7b-48ee-8960-905b793caba3,PNW,BDN,Bend,Wednesday,Thursday,3,4,FALSE
d59452a6-e799-49a4-a622-84cfeaa3becb,PNW,BOI,Boise,Wednesday,Thursday,3,4,FALSE
3f136629-a933-40d9-ac32-d351b4a9e128,PNW,EUG,Eugene,Wednesday,Thursday,3,4,FALSE
74548c37-f085-43a5-b85d-f342533747bb,PNW,OLM,Olympia,Wednesday,Thursday,3,4,FALSE
96b2a2b2-d24e-4b3b-933e-f38851668a39,PNW,PDX,Portland,Wednesday,Thursday,3,4,FALSE
6c486673-70a3-4c86-93e4-f83266c102e1,PNW,SEA,Seattle,Wednesday,Thursday,3,4,FALSE
6ea46e65-182f-4dcc-ab1c-c751c8293130,PNW,SPK,Spokane,Wednesday,Thursday,3,4,FALSE
