Zone ID,FC Abbreviation,Zone Name,Christmas or New Years,Pack Date,Delivery Date,Custo Open Date / Time,Custo Close Date / Time,Dispatch Date / Time
70ae14e8-292a-4bc2-a1d8-37f5ddf04d72,LA,DEN: Employee Warehouse Pick Up,New Years,1/3/2023,1/4/2023,"Thursday, 12/29 - 02:00 PM","Saturday, 12/31 - 11:00 AM","Saturday, 12/31 - 05:00 PM"
c68ca8e0-3192-4f53-bfc9-cf45b01e7aaa,LA,EBY: MONDAY PM LAX,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Saturday, 12/31 - 12:00 PM","Saturday, 12/31 - 03:00 PM"
23e7b9aa-4ce2-4a90-be71-68cc7385e234,SAT,DFW: THURSDAY PM,New Years,1/4/2023,1/5/2023,"Monday, 01/02 - 01:00 PM","Tuesday, 01/03 - 03:00 PM","Tuesday, 01/03 - 09:00 PM"
932cb4b2-323d-464f-ae04-00471667c68f,SAT,DFW: TUESDAY PM,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Sunday, 01/01 - 12:00 PM","Sunday, 01/01 - 06:00 PM"
918772d8-0eff-46ef-be59-88c0946fb4fd,SAT,DFW: FRIDAY PM,New Years,1/5/2023,1/6/2023,"Monday, 01/02 - 01:00 PM","Wednesday, 01/04 - 12:00 PM","Wednesday, 01/04 - 06:00 PM"
970e26aa-4d95-4cc4-b93e-2762fa53122a,SAT,DFW: WEDNESDAY PM,New Years,1/3/2023,1/4/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 06:00 PM"
1b572488-cdca-4732-ac30-2f54c49a042c,CHI,MSP: MONDAY PM,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Saturday, 12/31 - 12:00 PM","Saturday, 12/31 - 06:00 PM"
a7bfed0c-0701-4b9f-b025-fc3f0a9674fe,CHI,MSP: WEDNESDAY PM,New Years,1/4/2023,1/5/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 06:00 PM"
a47d4bde-606f-4303-bd44-acab2b1e2a04,CHI,MSP: THURSDAY PM,New Years,1/5/2023,1/6/2023,"Monday, 01/02 - 01:00 PM","Tuesday, 01/03 - 03:00 PM","Tuesday, 01/03 - 09:00 PM"
b367bf19-8f8a-4700-b0d6-dee55be0d386,CHI,MSP: TUESDAY PM,New Years,1/3/2023,1/4/2023,"Thursday, 12/29 - 03:00 PM","Sunday, 01/01 - 12:00 PM","Sunday, 01/01 - 06:00 PM"
333b4e39-c61d-4feb-ac54-1fae9d2483dc,CHI,DSM: THURSDAY PM,New Years,1/4/2023,1/5/2023,"Monday, 01/02 - 01:00 PM","Tuesday, 01/03 - 03:00 PM","Tuesday, 01/03 - 09:00 PM"
7874d168-e1e3-4cad-ab0a-325c376ddb3a,LA,SNA: WEDNESDAY PM,New Years,1/3/2023,1/4/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 03:00 PM"
