windowExceptionId,originalWindowId,originalDeliveryDay,replacementDeliveryDay,originalDeliveryDate,replacementWindowId,replacementDeliveryDate,Christmas or New Years,reason,canDonate,donationPartnerIds
277def81-2f03-41d8-90f2-0e3cba107388,0a9067fe-e243-4c35-8f97-a213f26eb41e,4,5,2022-12-29,f56032dd-8b90-4ac6-8d95-37d16937dd3e,2022-12-30,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Friday, 12/30 instead of Thursday, 12/29",FALSE,[]
4fab0cf5-8361-492b-81d5-812182766835,89dcbf4e-db78-4013-bc29-2770bd33a1ec,4,5,2022-12-29,358a702b-d1d3-49fc-9ea9-55b4876b51ed,2022-12-30,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Friday, 12/30 instead of Thursday, 12/29",FALSE,[]
57828620-73f7-428d-9443-c7a49cad76e7,786f9695-d721-4332-8e95-b5bf7ee1e398,4,5,2022-12-29,05f830fe-7721-4123-94a1-bed8a9b93032,2022-12-30,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Friday, 12/30 instead of Thursday, 12/29",FALSE,[]
6e10c58f-7a12-4613-9924-1e1237ba762f,e5dbebd6-16bd-4239-aa66-2e1aa42c3c2c,4,5,2022-12-29,d78e39bc-8044-446c-94ac-b92c493dd5d8,2022-12-30,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Friday, 12/30 instead of Thursday, 12/29",FALSE,[]
0d0b70ee-4ddc-4de4-b28e-138a93b94b7f,60b68572-38de-41c5-a711-18cea725e83b,4,5,2022-12-29,17ce0134-d77d-41c7-9772-d437689e7ba8,2022-12-30,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Friday, 12/30 instead of Thursday, 12/29",FALSE,[]
86f2c3c3-129f-42f3-8987-616ec38db964,b0e6bf59-5ef9-43bb-897a-4d08f2144862,4,5,2022-12-29,44271826-b29f-42f8-83f0-855d48e9d809,2022-12-30,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Friday, 12/30 instead of Thursday, 12/29",FALSE,[]
d82ab694-af35-4c7c-82ed-c5de16386241,0540cb6f-b7a4-435a-8385-94e79fa11a1d,4,5,2022-12-29,b0568ef3-c0e0-4fb9-bf55-f8c9acab10e1,2022-12-30,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Friday, 12/30 instead of Thursday, 12/29",FALSE,[]
8645c72e-5d37-4f57-98d2-8ec329f55960,c9449c3d-f12f-472e-95bf-4efaead39a0e,1,2,2022-12-26,b01762a5-0c2e-49b5-bd3b-35ffc3a7b23c,2022-12-27,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Tuesday, 12/27 instead of Monday, 12/26",FALSE,[]
8fd11c4c-6216-45cd-95d5-e8b10ff88b0e,ed93b5a0-230a-44e8-85ca-33f254d69321,1,2,2022-12-26,56297eaa-5194-465e-9639-65de9a847645,2022-12-27,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Tuesday, 12/27 instead of Monday, 12/26",FALSE,[]
695005f5-4226-40aa-8936-f0100595a44d,04912364-e308-4c45-a364-32c19dfeaac9,1,2,2022-12-26,f41e538f-9a44-4b71-842e-140bf8058761,2022-12-27,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Tuesday, 12/27 instead of Monday, 12/26",FALSE,[]
2bd6ad51-f3b7-4301-98a4-5f6b093976ab,79b40776-6675-4f2e-9a64-566ef8f7bf97,1,2,2022-12-26,afffb086-2edc-487f-a5dc-72e24a5421dd,2022-12-27,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Tuesday, 12/27 instead of Monday, 12/26",FALSE,[]
f22864e9-5e7c-4b9c-b8ec-a4b7e398e4e1,db60a51f-ffab-400a-a6cc-d9a83899b505,1,2,2022-12-26,abcd3512-2343-40c5-a9e1-bc99b9248d37,2022-12-27,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Tuesday, 12/27 instead of Monday, 12/26",FALSE,[]
d62291e5-31af-472e-90b4-8e0572501c89,53496958-8691-40df-87a2-f81a7f35c4df,1,2,2022-12-26,99a509f0-f9c3-4ded-a0be-5ca10156a4a8,2022-12-27,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Tuesday, 12/27 instead of Monday, 12/26",FALSE,[]
2bc95fde-37d1-43cf-904f-e9cccc909fce,c1810aa2-50e6-4c9a-93d7-74a455464769,1,2,2022-12-26,f3cbd292-3050-43a4-be31-7ee06824f664,2022-12-27,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Tuesday, 12/27 instead of Monday, 12/26",FALSE,[]
3fa2bcd5-1241-488c-8b36-57f1ca5a85b5,a62f84a7-d27e-4a2f-95d0-35d474fa5860,1,2,2022-12-26,b8bd91fc-ae6c-4a0a-acdd-5d85d7e41dc1,2022-12-27,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Tuesday, 12/27 instead of Monday, 12/26",FALSE,[]
c61a7ef9-7b08-4fb5-be9e-807d5c1d14a7,7b3b57e1-0eaa-4957-927d-5827e121d81d,1,2,2022-12-26,cfc152dc-2726-4ce3-b17e-46c33a739d20,2022-12-27,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Tuesday, 12/27 instead of Monday, 12/26",FALSE,[]
