old_window_id,old_zone_id,name,windowId,zoneId,customizationStartDay,customizationStartTime,customizationEndDay,customizationEndTime,dispatchDay,dispatchTime,startDay,startTime,endDay,endTime,fulfillmentCenterId,deliveryPrice,subtotalMin,deliveryProvider,orderBy,isVisible,smsNotifications,packDateOffset,carrierDaysInTransit,messageToUser
b9a3bd70-2f24-4c71-b7a5-8fb878a567db,4710ac75-70f7-45c3-99f4-adf450179be0,EUG: TUESDAY PM,ae49a57b-668b-47c4-8c5e-bc85ac28a00e,4710ac75-70f7-45c3-99f4-adf450179be0,4,15:00:00,0,12:00:00,0,18:00:00,3,05:00:00,3,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
430eb096-a043-4d63-a052-6d463b8f0e2a,72477012-0d39-43d3-af19-b7acf92e115f,OLM: TUESDAY PM,537cd30b-4c36-4f1c-9bc2-c5e8aecf2780,72477012-0d39-43d3-af19-b7acf92e115f,4,15:00:00,0,12:00:00,0,18:00:00,3,05:00:00,3,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
50038150-f7ac-43c3-bed4-a5316f11e46e,54ba1cc5-5f65-4c1e-b021-2dac65ff3c7f,PDX: TUESDAY PM,4433c76f-826b-4ef2-acab-e523c13ffc14,54ba1cc5-5f65-4c1e-b021-2dac65ff3c7f,4,15:00:00,0,12:00:00,0,18:00:00,3,05:00:00,3,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
38ffc46a-021b-4969-9219-a36c5fb0fbf0,2f3aaf90-12ae-48c3-899d-2fec9a6d9761,SEA: TUESDAY PM,93c6c3ba-385b-4d8f-9b61-1d741493aabc,2f3aaf90-12ae-48c3-899d-2fec9a6d9761,4,15:00:00,0,12:00:00,0,18:00:00,3,05:00:00,3,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
adf18922-7fd0-4ef5-b518-8fb38ee887ea,8a2553b1-63eb-436c-9c99-0e2fcca775b3,SPK: TUESDAY PM,b8f2e0af-e118-4a26-a13c-b89fca37a5c2,8a2553b1-63eb-436c-9c99-0e2fcca775b3,4,15:00:00,0,12:00:00,0,18:00:00,3,05:00:00,3,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
932b79f8-40e1-4523-8065-c22e0c5623fb,bded7ac9-3a69-4a5a-afac-b5095cc46f58,BLI: WEDNESDAY PM,869b57f6-e5a6-4380-988f-57292c8fd864,bded7ac9-3a69-4a5a-afac-b5095cc46f58,5,15:00:00,1,12:00:00,1,18:00:00,4,05:00:00,4,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
0d5296b2-2b7b-48ee-8960-905b793caba3,215c70a2-2715-470c-ad71-faf1e354baa8,BDN: WEDNESDAY PM,90568bec-6cc0-4dad-8d75-c891b0f57922,215c70a2-2715-470c-ad71-faf1e354baa8,5,15:00:00,1,12:00:00,1,18:00:00,4,05:00:00,4,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
d59452a6-e799-49a4-a622-84cfeaa3becb,dfa5eb33-19c1-430f-839f-07e6cde493c8,BOI: WEDNESDAY PM,efa8c0d3-a2d0-45bd-8d07-f342649f22b9,dfa5eb33-19c1-430f-839f-07e6cde493c8,5,14:00:00,1,11:00:00,1,17:00:00,4,05:00:00,4,20:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
3f136629-a933-40d9-ac32-d351b4a9e128,b371e3ec-533f-4931-ae5c-ddb9e29ff53d,EUG: WEDNESDAY PM,4ff5f76e-8a60-49b4-84d4-97fc9a095b36,b371e3ec-533f-4931-ae5c-ddb9e29ff53d,5,15:00:00,1,12:00:00,1,18:00:00,4,05:00:00,4,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
74548c37-f085-43a5-b85d-f342533747bb,46782f0f-ba55-4089-9d08-3a2dedc73dc6,OLM: WEDNESDAY PM,985f5293-f196-46e4-9da1-f3a1023d47ba,46782f0f-ba55-4089-9d08-3a2dedc73dc6,5,15:00:00,1,12:00:00,1,18:00:00,4,05:00:00,4,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
96b2a2b2-d24e-4b3b-933e-f38851668a39,84e03d9b-7b67-4a8b-910d-72c7e1da6097,PDX: WEDNESDAY PM,c2640362-319e-465d-8df5-d183ffa47445,84e03d9b-7b67-4a8b-910d-72c7e1da6097,5,15:00:00,1,12:00:00,1,18:00:00,4,05:00:00,4,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
6c486673-70a3-4c86-93e4-f83266c102e1,d1173b22-06ae-49ab-b45c-1bfed0332a3f,SEA: WEDNESDAY PM,f914059d-742e-4b52-a54f-25ac5fbe3cea,d1173b22-06ae-49ab-b45c-1bfed0332a3f,5,15:00:00,1,12:00:00,1,18:00:00,4,05:00:00,4,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
6ea46e65-182f-4dcc-ab1c-c751c8293130,a7021277-2170-479d-8bce-4732d95b0baa,SPK: WEDNESDAY PM,b71b127c-e4cb-45f9-b182-f0dac3a1233f,a7021277-2170-479d-8bce-4732d95b0baa,5,15:00:00,1,12:00:00,1,18:00:00,4,05:00:00,4,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
33b8726b-29d5-4a36-b6b7-24cec4c16212,6a30695d-c456-4dd0-995a-510eb97239c0,BLI: THURSDAY PM,8d009b02-853e-4406-a961-0c480ab38445,6a30695d-c456-4dd0-995a-510eb97239c0,1,13:00:00,2,15:00:00,2,21:00:00,5,05:00:00,5,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
a5a1ea5a-b7e2-4055-a64b-86c3766b11fb,6045937b-2b87-4d21-9711-374a8b599736,BDN: THURSDAY PM,21a05fcc-e680-4759-bdbb-3376c2fb2032,6045937b-2b87-4d21-9711-374a8b599736,1,13:00:00,2,15:00:00,2,21:00:00,5,05:00:00,5,21:00:00,62759d07-dda5-4e5e-a0b9-fce960493522,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
